"Hora local en Pudahuel (aeropuerto)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"23.11.2017 14:00";"29.6";"717.7";"757.0";"";"25";"Viento procedente del sursuroeste";"8";"";"";"10%  o menos, pero no 0";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"10.0";"7.4";"Sin precipitación";"6";"";"";"";"";
"23.11.2017 11:00";"27.4";"718.0";"757.7";"";"29";"Viento procedente del sur";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"23.11.2017 08:00";"19.4";"718.3";"759.1";"0.3";"44";"Viento procedente del nornoreste";"2";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"13.1";"";"";"";"";"";"";"8.0";"6.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"23.11.2017 05:00";"14.2";"718.0";"759.3";"";"55";"";"";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.3";"";"";"";"";"";"";
"23.11.2017 02:00";"16.4";"718.0";"759.1";"0.0";"49";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"5.7";"Sin precipitación";"6";"";"";"";"";
"22.11.2017 23:00";"21.0";"718.0";"758.3";"";"36";"Viento procedente del sursureste";"3";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.2";"";"";"";"";"";"";
"22.11.2017 20:00";"25.0";"717.1";"756.8";"0.5";"26";"Viento procedente del sursuroeste";"6";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"32.5";"";"";"";"";"";"10.0";"4.3";"Sin precipitación";"6";"";"";"";"";
"22.11.2017 17:00";"30.1";"716.6";"755.8";"";"22";"Viento procedente del sur-oeste";"7";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"22.11.2017 14:00";"31.1";"717.0";"756.0";"-1.6";"17";"Viento procedente del sur";"6";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"2.9";"Sin precipitación";"6";"";"";"";"";
"22.11.2017 11:00";"27.2";"718.6";"758.4";"";"22";"";"";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.6";"";"";"";"";"";"";
"22.11.2017 08:00";"18.6";"719.8";"760.6";"0.3";"41";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"11.5";"";"";"";"";"";"";"10.0";"4.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"22.11.2017 05:00";"12.0";"719.5";"761.4";"";"58";"";"";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.0";"";"";"";"";"";"";
"22.11.2017 02:00";"15.5";"719.8";"761.3";"-0.6";"47";"Calma, escampado";"0";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"4.3";"Sin precipitación";"6";"";"";"";"";
"21.11.2017 23:00";"19.9";"720.4";"761.2";"";"39";"Viento procedente del sur";"3";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.4";"";"";"";"";"";"";
"21.11.2017 20:00";"24.5";"720.1";"760.2";"0.4";"26";"Viento procedente del sur-oeste";"5";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"31.1";"";"";"";"";"";"10.0";"3.5";"Sin precipitación";"6";"";"";"";"";
"21.11.2017 17:00";"29.0";"719.7";"759.1";"";"20";"Viento procedente del sursuroeste";"6";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.7";"";"";"";"";"";"";
"21.11.2017 14:00";"";"720.4";"761.8";"-1.3";"";"Viento procedente del sur";"5";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"";"Sin precipitación";"6";"";"";"";"";
"21.11.2017 11:00";"22.8";"721.7";"762.1";"";"29";"";"";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.7";"";"";"";"";"";"";
"21.11.2017 08:00";"15.8";"722.8";"764.2";"0.2";"46";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"8.1";"";"";"";"";"";"";"10.0";"4.0";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"21.11.2017 05:00";"9.1";"722.6";"765.1";"";"69";"Viento procedente del norte";"2";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"8.0";"3.6";"";"";"";"";"";"";
"21.11.2017 02:00";"12.1";"722.8";"764.8";"-0.6";"61";"Viento procedente del sursureste";"2";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"4.7";"Sin precipitación";"6";"";"";"";"";
"20.11.2017 23:00";"14.7";"723.4";"765.1";"";"48";"Viento procedente del sursureste";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.6";"";"";"";"";"";"";
"20.11.2017 20:00";"18.0";"722.2";"763.4";"1.0";"34";"Viento procedente del sur";"4";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"24.6";"";"";"";"";"";"10.0";"1.7";"Sin precipitación";"6";"";"";"";"";
"20.11.2017 17:00";"22.0";"721.2";"761.8";"";"30";"Viento procedente del sursuroeste";"6";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.5";"";"";"";"";"";"";
"20.11.2017 14:00";"23.7";"720.7";"760.9";"-0.3";"30";"Viento procedente del sur-oeste";"6";"";"";"70 – 80%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"10.0";"5.1";"Sin precipitación";"6";"";"";"";"";
"20.11.2017 11:00";"20.7";"721.0";"761.5";"";"36";"Viento procedente del sursureste";"6";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"20.11.2017 08:00";"15.4";"720.2";"761.7";"1.0";"57";"Viento procedente del sur";"4";"";"";"20–30%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"11.4";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"10.0";"6.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"20.11.2017 05:00";"12.1";"719.2";"761.2";"";"70";"Viento procedente del sur";"3";"";"";"10%  o menos, pero no 0";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"20.11.2017 02:00";"14.7";"719.2";"760.8";"-0.1";"61";"Viento procedente del sudeste";"3";"";"";"sin nubes.";"Ningún desarrollo nuboso observado u observable. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"7.1";"Sin precipitación";"6";"";"";"";"";
"19.11.2017 23:00";"17.0";"719.3";"760.5";"";"49";"Viento procedente del sursureste";"4";"";"";"10%  o menos, pero no 0";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"19.11.2017 20:00";"21.3";"718.5";"759.0";"0.9";"36";"Viento procedente del sur";"6";"";"";"sin nubes.";"Ningún desarrollo nuboso observado u observable. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"30.4";"";"";"";"";"";"10.0";"5.5";"Sin precipitación";"6";"";"";"";"";
"19.11.2017 17:00";"26.7";"717.6";"757.3";"";"26";"Viento procedente del sursuroeste";"11";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"19.11.2017 14:00";"29.5";"717.7";"757.0";"-1.2";"15";"Viento procedente del sursuroeste";"6";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"0.2";"Sin precipitación";"6";"";"";"";"";
"19.11.2017 11:00";"24.6";"718.9";"758.9";"";"30";"";"";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"19.11.2017 08:00";"17.3";"720.1";"761.2";"0.0";"48";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"9.2";"";"";"";"";"";"";"10.0";"6.1";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"19.11.2017 05:00";"11.1";"720.1";"762.0";"";"70";"Viento procedente del nornoroeste";"2";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"19.11.2017 02:00";"12.8";"720.6";"762.3";"-0.7";"63";"Viento procedente del noroeste";"1";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"5.9";"Sin precipitación";"6";"";"";"";"";
"18.11.2017 23:00";"16.7";"721.3";"762.4";"";"50";"Viento procedente del sursureste";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"18.11.2017 20:00";"20.9";"720.1";"760.6";"0.6";"36";"Viento procedente del sursuroeste";"6";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"27.8";"";"";"";"";"";"10.0";"5.1";"Sin precipitación";"6";"";"";"";"";
"18.11.2017 17:00";"26.2";"719.5";"759.4";"";"24";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"18.11.2017 14:00";"26.9";"719.5";"759.4";"-1.0";"25";"Viento procedente del sur";"4";"";"";"sin nubes.";"Ningún desarrollo nuboso observado u observable. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"5.2";"Sin precipitación";"6";"";"";"";"";
"18.11.2017 11:00";"21.2";"720.5";"761.2";"";"37";"Viento procedente del sursuroeste";"5";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"18.11.2017 08:00";"14.9";"721.0";"762.6";"0.5";"48";"";"";"";"";"sin nubes.";"Ningún desarrollo nuboso observado u observable. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"10.5";"";"";"";"";"";"";"10.0";"4.0";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"18.11.2017 05:00";"12.0";"720.5";"762.5";"";"56";"Viento procedente del sur";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"18.11.2017 02:00";"13.4";"721.0";"762.7";"0.1";"51";"Viento procedente del sur";"4";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"3.5";"Sin precipitación";"6";"";"";"";"";
"17.11.2017 23:00";"16.3";"720.9";"762.3";"";"51";"Viento procedente del sursureste";"5";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"17.11.2017 20:00";"20.2";"719.9";"760.7";"0.4";"37";"Viento procedente del sursuroeste";"7";"";"";"20–30%.";"Nubes en general disipándose o haciéndose menos desarrolladas. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"27.1";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"20–30%.";"2500 o más, o sin nuves.";"Altocúmulos translucidus a un solo nivel.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"10.0";"4.8";"Sin precipitación";"6";"";"";"";"";
"17.11.2017 17:00";"25.9";"719.5";"759.2";"";"27";"Viento procedente del sur-oeste";"8";"";"";"50%.";" ";"";"";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"50%.";"";"Altocúmulos translucidus a un solo nivel.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"";"5.3";"";"";"";"";"";"";
"17.11.2017 14:00";"25.2";"720.2";"760.2";"-0.6";"27";"Viento procedente del sursuroeste";"8";"";"";"40%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"10.0";"5.1";"Sin precipitación";"6";"";"";"";"";
"17.11.2017 11:00";"22.2";"720.8";"761.2";"";"37";"Viento procedente del sur";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"17.11.2017 08:00";"15.5";"721.9";"763.3";"0.8";"58";"";"";"";"";"sin nubes.";"Nubes en general disipándose o haciéndose menos desarrolladas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"9.2";"";"";"";"";"";"";"10.0";"7.1";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"17.11.2017 05:00";"10.6";"721.1";"763.3";"";"75";"";"";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"17.11.2017 02:00";"12.6";"720.8";"762.7";"0.2";"67";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"6.6";"Sin precipitación";"6";"";"";"";"";
"16.11.2017 23:00";"16.6";"720.6";"761.9";"";"52";"Viento procedente del sursureste";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"16.11.2017 20:00";"20.3";"719.3";"760.0";"0.4";"42";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"27.4";"";"";"";"";"";"10.0";"6.8";"Sin precipitación";"6";"";"";"";"";
"16.11.2017 17:00";"25.6";"718.9";"758.8";"";"25";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"16.11.2017 14:00";"26.1";"719.9";"759.8";"-0.8";"23";"Viento procedente del sur-oeste";"6";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"3.2";"Sin precipitación";"6";"";"";"";"";
"16.11.2017 11:00";"21.1";"720.7";"761.4";"";"35";"Viento procedente del sur";"3";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"16.11.2017 08:00";"14.5";"722.3";"764.0";"0.0";"52";"";"";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"8.5";"";"";"";"";"";"";"10.0";"4.6";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"16.11.2017 05:00";"9.9";"722.3";"764.7";"";"66";"Viento procedente del nornoroeste";"2";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"16.11.2017 02:00";"14.1";"722.8";"764.6";"-0.3";"49";"Viento procedente del sursuroeste";"3";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"3.5";"Sin precipitación";"6";"";"";"";"";
"15.11.2017 23:00";"16.7";"723.1";"764.6";"";"43";"Viento procedente del sur";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"15.11.2017 20:00";"18.6";"722.1";"763.2";"0.7";"40";"Viento procedente del sur-oeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"24.6";"";"";"";"";"";"10.0";"4.5";"Sin precipitación";"6";"";"";"";"";
"15.11.2017 17:00";"22.6";"721.4";"761.9";"";"38";"Viento procedente del sur-oeste";"8";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"15.11.2017 14:00";"23.2";"721.9";"762.4";"-1.7";"29";"";"";"";"";"10%  o menos, pero no 0";"Nubes en general disipándose o haciéndose menos desarrolladas. ";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"Cúmulos mediocris o congestus, con cúmulos de las especies fractus o humilis o estratocúmulos o sin ellos, todos con sus bases a un mismo nivel.";"10%  o menos, pero no 0";"1000-1500";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"4.3";"Sin precipitación";"6";"";"";"";"";
"15.11.2017 11:00";"18.7";"723.6";"764.8";"";"55";"Viento procedente del sursureste";"5";"";"";"40%.";" ";"";"";"";"";"Cúmulos mediocris o congestus, con cúmulos de las especies fractus o humilis o estratocúmulos o sin ellos, todos con sus bases a un mismo nivel.";"40%.";"";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"9.3";"";"";"";"";"";"";
"15.11.2017 08:00";"13.1";"723.3";"765.3";"2.0";"81";"Viento procedente del sursureste";"4";"";"";"100%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"12.4";"";"Cúmulos y estratocúmulos que no sean estratocúmulos cumulogenitus, con bases a niveles diferentes.";"50%.";"600-1000";"";"";"10.0";"9.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"15.11.2017 05:00";"13.1";"721.3";"763.2";"";"82";"Viento procedente del sur";"2";"";"";"100%.";" ";"";"";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"100%.";"";"";"";"";"10.1";"";"";"";"";"";"";
"15.11.2017 02:00";"13.1";"721.2";"763.0";"-0.4";"81";"Viento procedente del sur-oeste";"3";"";"";"100%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"100%.";"300-600";"";"";"10.0";"9.9";"Sin precipitación";"6";"";"";"";"";
"14.11.2017 23:00";"12.7";"721.6";"763.6";"";"84";"Viento procedente del sursureste";"6";"";"";"70 – 80%.";" ";"";"";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"50%.";"";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"10.0";"";"";"";"";"";"";
"14.11.2017 20:00";"16.2";"720.1";"761.3";"1.5";"74";"Viento procedente del sur";"6";"";"";"sin nubes.";"Ningún desarrollo nuboso observado u observable. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"28.3";"";"";"";"";"";"10.0";"11.5";"Sin precipitación";"6";"";"";"";"";
"14.11.2017 17:00";"23.1";"718.6";"758.9";"";"50";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"14.11.2017 14:00";"26.3";"718.1";"757.9";"-0.5";"44";"Viento procedente del sur-oeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"13.0";"Sin precipitación";"6";"";"";"";"";
"14.11.2017 11:00";"24.1";"718.6";"758.7";"";"49";"Viento procedente del sur";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"";"";"";"";"";"";
"14.11.2017 08:00";"16.8";"718.7";"759.9";"0.4";"73";"";"";"";"";"sin nubes.";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"11.5";"";"";"";"";"";"";"6.0";"11.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"14.11.2017 05:00";"13.5";"718.3";"759.8";"";"83";"Viento procedente del sursureste";"3";"";"";"sin nubes.";"Bruma. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"14.11.2017 02:00";"14.7";"718.0";"759.3";"-1.0";"79";"Viento procedente del sur";"3";"";"";"sin nubes.";"Bruma. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"8.0";"11.0";"Sin precipitación";"6";"";"";"";"";
"13.11.2017 23:00";"16.5";"719.0";"760.1";"";"72";"Viento procedente del sursureste";"3";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"13.11.2017 20:00";"20.5";"718.3";"758.7";"1.1";"57";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"28.8";"";"";"";"";"";"10.0";"11.7";"Sin precipitación";"6";"";"";"";"";
"13.11.2017 17:00";"26.1";"717.2";"757.0";"";"41";"Viento procedente del sur-oeste";"7";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"13.11.2017 14:00";"27.9";"718.2";"757.7";"-1.1";"32";"Viento procedente del sur";"6";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"9.9";"Sin precipitación";"6";"";"";"";"";
"13.11.2017 11:00";"24.4";"719.3";"759.4";"";"41";"Viento procedente del sur";"4";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"10.3";"";"";"";"";"";"";
